2025-04-20 11:49:37 - Gesture: call, Confidence: 0.92
2025-04-20 11:49:37 - Gesture: call, Confidence: 0.91
2025-04-20 11:49:37 - Gesture: call, Confidence: 0.89
2025-04-20 11:49:38 - Gesture: three, Confidence: 0.93
2025-04-20 11:49:38 - Gesture: three, Confidence: 0.93
2025-04-20 11:49:38 - Gesture: three, Confidence: 0.78
2025-04-20 11:49:38 - Gesture: three, Confidence: 0.73
2025-04-20 11:49:38 - Gesture: three, Confidence: 0.73
2025-04-20 11:49:38 - Gesture: three, Confidence: 0.73
2025-04-20 11:49:38 - Gesture: three, Confidence: 0.73
2025-04-20 11:49:38 - Gesture: stop, Confidence: 0.81
2025-04-20 11:49:39 - Gesture: stop, Confidence: 0.81
2025-04-20 11:49:39 - Gesture: stop, Confidence: 0.81
2025-04-20 11:49:39 - Gesture: stop, Confidence: 0.81
2025-04-20 11:49:40 - Gesture: stop, Confidence: 0.76
2025-04-20 11:49:40 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:40 - Gesture: stop, Confidence: 0.76
2025-04-20 11:49:40 - Gesture: stop, Confidence: 0.82
2025-04-20 11:49:41 - Gesture: stop, Confidence: 0.82
2025-04-20 11:49:41 - Gesture: stop, Confidence: 0.82
2025-04-20 11:49:41 - Gesture: stop, Confidence: 0.82
2025-04-20 11:49:41 - Gesture: stop, Confidence: 0.82
2025-04-20 11:49:41 - Gesture: stop, Confidence: 0.86
2025-04-20 11:49:41 - Gesture: stop, Confidence: 0.88
2025-04-20 11:49:41 - Gesture: stop, Confidence: 0.87
2025-04-20 11:49:41 - Gesture: stop, Confidence: 0.84
2025-04-20 11:49:41 - Gesture: stop, Confidence: 0.92
2025-04-20 11:49:43 - Gesture: rock, Confidence: 0.97
2025-04-20 11:49:44 - Gesture: rock, Confidence: 0.96
2025-04-20 11:49:44 - Gesture: rock, Confidence: 0.97
2025-04-20 11:49:44 - Gesture: rock, Confidence: 0.97
2025-04-20 11:49:44 - Gesture: rock, Confidence: 0.97
2025-04-20 11:49:45 - Gesture: peace_inverted, Confidence: 0.93
2025-04-20 11:49:47 - Gesture: one, Confidence: 0.98
2025-04-20 11:49:48 - Gesture: one, Confidence: 0.93
2025-04-20 11:49:48 - Gesture: one, Confidence: 0.75
2025-04-20 11:49:48 - Gesture: one, Confidence: 0.80
2025-04-20 11:49:48 - Gesture: one, Confidence: 0.83
2025-04-20 11:49:48 - Gesture: one, Confidence: 0.85
2025-04-20 11:49:48 - Gesture: one, Confidence: 0.97
2025-04-20 11:49:50 - Gesture: dislike, Confidence: 0.73
2025-04-20 11:49:59 - Gesture: stop_inverted, Confidence: 0.99
2025-04-20 22:11:20 - Gesture: fist, Confidence: 0.93
2025-04-20 22:11:23 - Gesture: ok, Confidence: 0.70
2025-04-20 22:11:23 - Gesture: ok, Confidence: 0.95
2025-04-20 22:11:23 - Gesture: ok, Confidence: 0.83
2025-04-20 22:11:23 - Gesture: ok, Confidence: 0.78
2025-04-20 22:11:23 - Gesture: ok, Confidence: 0.76
2025-04-20 22:11:23 - Gesture: ok, Confidence: 0.72
2025-04-20 22:11:23 - Gesture: ok, Confidence: 0.83
2025-04-20 22:11:23 - Gesture: ok, Confidence: 0.76
2025-04-20 22:11:23 - Gesture: ok, Confidence: 0.82
2025-04-20 22:11:23 - Gesture: ok, Confidence: 0.80
2025-04-20 22:11:24 - Gesture: ok, Confidence: 0.78
2025-04-20 22:11:24 - Gesture: ok, Confidence: 0.75
2025-04-20 22:11:24 - Gesture: ok, Confidence: 0.77
2025-04-20 22:11:25 - Gesture: ok, Confidence: 0.77
2025-04-20 22:11:25 - Gesture: ok, Confidence: 0.76
2025-04-20 22:11:25 - Gesture: ok, Confidence: 0.75
2025-04-20 22:11:25 - Gesture: ok, Confidence: 0.73
2025-04-20 22:11:25 - Gesture: ok, Confidence: 0.74
2025-04-20 22:11:25 - Gesture: ok, Confidence: 0.72
2025-04-20 22:11:25 - Gesture: ok, Confidence: 0.73
2025-04-20 22:11:25 - Gesture: ok, Confidence: 0.73
2025-04-20 22:11:25 - Gesture: ok, Confidence: 0.76
2025-04-20 22:11:25 - Gesture: ok, Confidence: 0.74
2025-04-20 22:11:25 - Gesture: ok, Confidence: 0.73
2025-04-20 22:11:25 - Gesture: ok, Confidence: 0.74
2025-04-20 22:11:25 - Gesture: ok, Confidence: 0.73
2025-04-20 22:11:26 - Gesture: ok, Confidence: 0.71
2025-04-20 22:11:30 - Gesture: stop, Confidence: 0.73
2025-04-20 22:11:31 - Gesture: stop, Confidence: 0.73
2025-04-20 22:11:31 - Gesture: stop, Confidence: 0.73
2025-04-20 22:11:31 - Gesture: stop, Confidence: 0.73
2025-04-20 22:11:34 - Gesture: like, Confidence: 0.87
2025-04-20 22:11:34 - Gesture: like, Confidence: 0.91
2025-04-20 22:11:34 - Gesture: like, Confidence: 0.94
2025-04-20 22:11:34 - Gesture: like, Confidence: 0.95
2025-04-20 22:11:35 - Gesture: like, Confidence: 0.96
2025-04-20 22:11:35 - Gesture: like, Confidence: 0.97
2025-04-20 22:11:35 - Gesture: like, Confidence: 0.97
2025-04-20 22:11:35 - Gesture: like, Confidence: 0.98
2025-04-20 22:11:35 - Gesture: like, Confidence: 0.98
2025-04-20 22:11:35 - Gesture: like, Confidence: 0.98
2025-04-20 22:11:35 - Gesture: like, Confidence: 0.99
2025-04-20 22:11:35 - Gesture: like, Confidence: 1.00
2025-04-20 22:11:35 - Gesture: like, Confidence: 1.00
2025-04-20 22:11:35 - Gesture: like, Confidence: 1.00
2025-04-20 22:11:35 - Gesture: like, Confidence: 1.00
2025-04-20 22:11:36 - Gesture: like, Confidence: 1.00
2025-04-20 22:11:36 - Gesture: like, Confidence: 1.00
2025-04-20 22:11:36 - Gesture: like, Confidence: 1.00
2025-04-20 22:11:36 - Gesture: like, Confidence: 1.00
